Alabama,2
Texas A&M-Corpus Christi,0
Maryland,1
West Virginia,0
Virginia,0
Furman,1
San Diego State,5
College of Charleston,0
Arizona,0
Princeton,2
Missouri,1
Utah State,0
Baylor,1
UC Santa Barbara,0
Creighton,3
NC State,0
Purdue,0
Fairleigh Dickinson,1
Memphis,0
Florida Atlantic,4
Tennessee,2
Louisiana,0
Duke,1
Oral Roberts,0
Marquette,1
Vermont,0
Michigan State,2
Southern California,0
Kansas State,3
Montana State,0
Kentucky,1
Providence,0
Houston,2
Northern Kentucky,0
Iowa,0
Auburn,1
Indiana,1
Kent State,0
Miami (FL),4
Drake,0
Texas,3
Colgate,0
Texas A&M,0
Penn State,1
Xavier,2
Kennesaw State,0
Iowa State,0
Pittsburgh,1
Kansas,1
Howard,0
Arkansas,2
Illinois,0
Connecticut,6
Iona,0
Saint Mary's (CA),1
Virginia Commonwealth,0
UCLA,2
UNC Asheville,0
Northwestern,1
Boise State,0
Gonzaga,3
Grand Canyon,0
TCU,1
Arizona State,0
