Villanova,1
Lafayette,0
NC State,2
Louisiana State,0
Louisville,3
UC Irvine,0
Northern Iowa,1
Wyoming,0
Virginia,1
Belmont,0
Michigan State,4
Georgia,0
Oklahoma,2
Albany (NY),0
Providence,0
Dayton,1
Duke,6
Robert Morris,0
San Diego State,1
St. John's (NY),0
Georgetown,1
Eastern Washington,0
Utah,2
Stephen F. Austin,0
Gonzaga,3
North Dakota State,0
Iowa,1
Davidson,0
Iowa State,0
UAB,1
Southern Methodist,0
UCLA,2
Kentucky,4
Hampton,0
Cincinnati,1
Purdue,0
Maryland,1
Valparaiso,0
West Virginia,2
Buffalo,0
Kansas,1
New Mexico State,0
Wichita State,2
Indiana,0
Notre Dame,3
Northeastern,0
Butler,1
Texas,0
Wisconsin,5
Coastal Carolina,0
Oregon,1
Oklahoma State,0
North Carolina,2
Harvard,0
Arkansas,1
Wofford,0
Arizona,3
Texas Southern,0
Virginia Commonwealth,0
Ohio State,1
Baylor,0
Georgia State,1
Xavier,2
Mississippi,0
