,team_name,year,tournament_success,simple_rating_system,strength_of_schedule,pace_factor,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage
0,North Carolina,2016,5,23.44,10.69,70.2,118.0,0.323,0.268,0.561,55.9,57.3,9.6,11.5,0.526,12.7,40.3
1,Florida Gulf Coast,2016,0,-0.79,-3.82,69.7,108.1,0.369,0.25,0.546,53.5,47.9,9.2,10.3,0.523,15.0,32.9
2,Southern California,2016,0,13.52,7.64,72.5,109.4,0.351,0.322,0.549,51.1,51.3,8.6,12.5,0.522,14.3,32.1
3,Providence,2016,1,11.94,8.46,69.8,104.4,0.373,0.371,0.523,49.4,62.4,9.3,8.9,0.48,13.9,30.3
4,Kentucky,2016,1,20.23,8.84,68.1,115.6,0.378,0.31,0.564,53.6,49.8,8.3,14.1,0.535,13.3,37.3
5,Stony Brook,2016,0,3.75,-5.28,67.8,112.0,0.32,0.3,0.548,55.4,58.0,9.1,12.1,0.524,14.2,36.0
6,Indiana,2016,2,19.59,6.9,69.1,119.2,0.338,0.409,0.612,54.9,54.8,9.9,9.8,0.587,16.7,37.0
7,Chattanooga,2016,0,3.24,-3.46,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6
8,Xavier,2016,1,18.58,8.43,72.4,111.2,0.417,0.342,0.556,54.9,59.1,10.0,8.4,0.514,14.8,35.2
9,Weber State,2016,0,0.18,-5.13,68.6,109.4,0.436,0.416,0.585,52.6,52.5,7.2,7.7,0.559,16.9,26.5
10,Wisconsin,2016,2,13.4,9.4,64.1,105.1,0.38,0.342,0.524,52.3,49.0,9.1,8.6,0.485,14.6,33.0
11,Pittsburgh,2016,0,15.47,8.75,66.4,112.2,0.357,0.307,0.551,55.2,62.3,7.3,10.0,0.511,14.6,36.9
